Frame#,Time,L.Clavicle.x,L.Clavicle.y,L.Clavicle.z,R.Scapula.x,R.Scapula.y,R.Scapula.z
140,1.158,622.47083,431.42688,1581.00854,416.4364,381.46069,1482.49609
141,1.167,614.48242,432.61682,1581.68469,409.07904,383.37689,1483.23828
142,1.175,606.80133,431.86224,1583.33057,402.05545,382.84201,1484.53333
143,1.183,599.80121,431.57965,1583.39355,393.27655,381.7832,1484.24304
144,1.192,591.84473,431.33453,1583.63696,385.987,383.36859,1484.33215
145,1.2,583.76013,431.35693,1584.38794,378.04898,382.55206,1484.35413
146,1.208,576.1532,431.5527,1584.59485,372.07779,385.24869,1484.0592
147,1.217,569.43317,430.57373,1584.86182,362.78223,385.58276,1484.66772
148,1.225,561.2934,431.95981,1584.68005,354.51047,384.15414,1484.67542
149,1.233,553.38342,431.16647,1584.4364,347.62924,383.76093,1485.1012
150,1.242,545.80902,430.59341,1584.5116,340.36493,383.48953,1483.84839
151,1.25,538.86475,431.18524,1584.3822,331.74872,382.60779,1482.62085
152,1.258,531.28992,430.16885,1583.63477,323.49863,384.03751,1482.64697
153,1.267,523.93994,431.01456,1582.59448,317.73572,384.16782,1482.73767
154,1.275,516.27563,430.61145,1582.10095,309.09009,384.19699,1483.4303
155,1.283,509.12219,430.25031,1580.93042,300.76993,384.74426,1482.64197
156,1.292,500.51541,431.55859,1580.27441,293.40744,385.98212,1481.4729
157,1.3,493.06943,430.4303,1579.47864,286.17642,384.51007,1480.81433
158,1.308,486.20413,431.3168,1578.68591,278.19684,384.19781,1479.70483
159,1.317,478.8432,430.47311,1577.40771,269.74722,385.21225,1478.00403
160,1.325,471.46164,430.0025,1575.83777,262.22702,385.55692,1477.00012
161,1.333,463.2207,430.82837,1575.8468,254.88245,386.73636,1476.71252
162,1.342,454.72534,431.96939,1573.33057,246.96301,387.86655,1475.37415
163,1.35,448.13959,432.0618,1572.00061,238.69315,387.39557,1474.4519
164,1.358,439.04218,432.52438,1571.37512,232.17294,387.78207,1473.69775
165,1.367,431.50433,433.63156,1570.26282,223.09157,388.05203,1472.57898
166,1.375,422.98129,433.17276,1569.01172,215.83128,390.43872,1470.95862
167,1.383,415.44943,434.18118,1567.70337,208.19902,390.03381,1469.93127
168,1.392,407.70367,435.5542,1566.76685,198.32584,390.79169,1468.80652
169,1.4,400.0134,435.18903,1565.4613,192.62651,390.51288,1467.94788
170,1.408,391.96304,436.17175,1564.99768,183.35954,393.26126,1465.6908
171,1.417,383.7674,437.45871,1563.07617,175.87241,394.56134,1465.04272
172,1.425,375.8432,438.60535,1562.71533,167.0316,396.48209,1463.8949
173,1.433,367.18607,440.00864,1561.55847,158.93845,394.81735,1463.48645
174,1.442,359.28745,439.86221,1561.26208,151.78851,398.34146,1461.9386
175,1.45,351.1153,442.33249,1560.09851,143.79201,398.28381,1461.54407
176,1.458,343.12607,443.45349,1559.08215,135.14125,398.14597,1460.91003
177,1.467,335.18839,444.41891,1558.66638,127.92337,401.57446,1460.90039
178,1.475,326.59656,446.67627,1558.4751,118.74155,401.98267,1459.09033
179,1.483,318.41562,447.9194,1558.22681,109.66775,403.24921,1457.97852
180,1.492,310.01187,448.95462,1558.18726,102.15118,406.15265,1458.08191
181,1.5,301.78552,450.61182,1557.32727,94.61794,407.43661,1456.4491
182,1.508,292.92651,452.19601,1556.57727,86.55782,408.67404,1455.4895
183,1.517,284.69214,453.79245,1556.42004,79.03775,411.45615,1455.81152
184,1.525,276.34909,456.75781,1556.94092,69.77483,413.93326,1455.4657
185,1.533,268.12064,458.65015,1558.15393,61.16739,414.03735,1455.802
186,1.542,258.88397,460.77139,1557.78186,52.09094,416.49402,1456.0249
187,1.55,250.19911,462.39542,1558.46753,43.86792,417.27661,1456.80347
188,1.558,241.3835,464.16614,1559.18286,34.72544,419.78265,1457.81921
189,1.567,233.01532,465.51703,1559.75391,25.35775,423.00494,1459.57458
190,1.575,223.57361,468.65067,1560.27527,17.24392,423.31601,1461.2771
191,1.583,215.0565,470.50772,1560.86523,7.15151,424.64792,1462.23022
192,1.592,206.32217,471.29849,1561.51001,-2.68154,425.50385,1463.48169
193,1.6,196.80605,474.10391,1562.02917,-11.63309,428.66635,1464.43909
194,1.608,188.2619,475.1788,1562.70752,-21.53313,429.45319,1465.62891
195,1.617,179.31752,477.54044,1563.26379,-30.09457,432.27072,1466.29016
196,1.625,170.19559,480.23038,1564.51563,-40.07986,434.79251,1466.48071
197,1.633,160.96942,481.30231,1564.71509,-48.63332,434.08255,1467.19019
198,1.642,151.97455,483.44193,1565.14441,-58.03974,436.3956,1467.94922
199,1.65,143.52104,485.05646,1564.87244,-67.66947,438.50818,1468.13757
200,1.658,134.7395,486.47214,1565.37708,-73.35934,439.40247,1469.04724
201,1.667,125.01985,487.48196,1565.87598,-82.78236,441.07602,1469.41833
202,1.675,116.83982,489.51041,1566.5116,-91.88165,442.53592,1470.26074
203,1.683,107.6694,492.05573,1566.73523,-100.00356,441.83771,1470.51233
204,1.692,99.08606,493.06525,1567.64624,-108.70622,444.40738,1470.93896
205,1.7,89.6245,494.3316,1567.98499,-117.06604,443.75351,1471.03027
206,1.708,81.39415,495.57477,1568.13293,-126.04894,443.51938,1471.7467
207,1.717,72.61576,498.64917,1568.69275,-133.45789,444.53729,1471.15417
208,1.725,63.81305,499.48749,1569.68091,-141.02702,444.88928,1471.16553
209,1.733,55.32233,499.98074,1570.4502,-150.28452,444.43039,1472.33228
210,1.742,46.42726,501.36157,1571.0166,-157.72609,445.96445,1470.86658
211,1.75,37.94362,502.34192,1571.84949,-165.84428,445.08347,1471.6167
212,1.758,29.76061,503.61566,1571.91223,-173.73279,445.84628,1471.69543
213,1.767,21.19972,504.00604,1572.62207,-181.39616,445.58029,1472.49792
214,1.775,13.10781,505.24973,1572.8031,-188.88089,446.13297,1472.28906
215,1.783,4.47919,506.13263,1573.73059,-197.26082,445.19211,1472.03503
216,1.792,-3.57658,506.45969,1574.15552,-205.83575,447.12561,1471.67712
217,1.8,-12.3184,507.45831,1574.03613,-212.73645,447.6293,1470.203
218,1.808,-19.90068,508.76315,1575.00305,-220.41853,446.98233,1470.12341
219,1.817,-28.59257,509.91809,1574.85352,-227.57408,446.30191,1470.54175
220,1.825,-36.35731,509.44626,1574.53735,-235.6149,445.75436,1470.24841
221,1.833,-44.44495,510.20319,1574.69641,-245.00966,445.51489,1469.50134
222,1.842,-52.4761,510.44028,1573.28394,-250.94716,445.99631,1468.98926
223,1.85,-60.0619,509.99707,1574.3772,-259.42923,446.77036,1468.97119
224,1.858,-68.70411,511.12793,1573.33838,-267.19061,446.91776,1467.36731
225,1.867,-76.89204,511.63837,1572.65002,-274.09299,445.4509,1466.66187
226,1.875,-83.96702,510.91785,1571.80103,-282.32623,445.22797,1467.04089
227,1.883,-92.87335,511.66373,1571.52209,-289.73318,445.3844,1466.39001
228,1.892,-101.45081,510.53201,1570.85303,-299.0314,445.82721,1466.45691
229,1.9,-108.66438,511.1438,1570.67786,-306.07855,443.40765,1465.07312
230,1.908,-116.55283,511.05051,1570.08362,-315.99393,442.0683,1464.16174
231,1.917,-124.52579,511.50778,1569.13232,-322.96204,441.65646,1462.67102
232,1.925,-132.19252,510.36612,1567.99292,-329.12067,443.84033,1462.6604
233,1.933,-140.56808,510.73544,1567.03894,-338.40829,443.58078,1461.07373
234,1.942,-148.14763,509.63577,1566.15674,-345.74326,442.53207,1460.19617
235,1.95,-155.57666,509.75763,1565.02161,-352.63501,441.53586,1459.63123
236,1.958,-163.68013,509.37753,1564.35522,-362.38419,440.06314,1457.5791
237,1.967,-171.53214,507.77023,1562.84143,-368.61636,439.48291,1457.15088
238,1.975,-179.96741,507.19821,1562.14709,-377.42725,440.80045,1456.67419
239,1.983,-187.55661,507.6337,1561.69556,-384.1937,439.71481,1454.84753
240,1.992,-195.3544,505.51053,1559.9989,-393.20935,439.03653,1454.03003
241,2,-203.1234,504.10455,1559.83911,-401.50427,436.86835,1453.77039
242,2.008,-211.54013,504.08136,1559.83655,-407.87399,437.27365,1453.73926
243,2.017,-218.68921,501.77597,1558.12036,-416.35767,435.9986,1452.75952
244,2.025,-226.6835,501.42609,1557.38159,-423.80127,435.98972,1452.66675
245,2.033,-235.24376,501.02234,1556.2832,-432.9758,432.89154,1450.75037
246,2.042,-242.42067,499.10782,1555.7616,-440.15701,433.07767,1451.11133
247,2.05,-251.20509,497.2709,1555.04968,-449.28101,433.26965,1449.65234
248,2.058,-258.87015,497.5488,1554.51526,-457.18207,431.73288,1450.00525
249,2.067,-266.54138,495.10028,1553.8363,-466.3667,430.42862,1449.99023
250,2.075,-275.34787,494.30521,1552.53528,-475.3306,429.90573,1449.54419
251,2.083,-282.89978,491.92032,1552.63123,-483.00745,429.83633,1448.98547
252,2.092,-291.55127,490.55252,1552.55127,-493.02142,428.51855,1449.95361
253,2.1,-300.07321,490.30191,1552.98022,-499.92407,428.13495,1451.0188
