Frame#,Time,R.ASIS.x,R.ASIS.y,R.ASIS.z
313,2.6,-803.61218,731.22913,1087.05847
314,2.608,-812.69525,732.62354,1085.22449
315,2.617,-819.30426,733.08893,1083.80542
316,2.625,-827.05408,733.36066,1082.59338
317,2.633,-835.60052,734.12042,1081.40198
318,2.642,-844.16046,734.91656,1079.91248
319,2.65,-852.92383,736.76917,1078.61475
320,2.658,-860.68842,736.39508,1078.17395
321,2.667,-869.96991,738.43542,1077.1261
322,2.675,-876.64307,738.27332,1075.54016
323,2.683,-886.63654,739.27856,1074.13416
324,2.692,-894.02081,739.79596,1072.70105
325,2.7,-904.66766,740.77191,1072.49487
326,2.708,-912.57056,741.42859,1070.68567
327,2.717,-922.62946,741.98883,1069.97058
328,2.725,-930.16888,742.83368,1070.04004
329,2.733,-941.78625,742.26196,1070.47388
330,2.742,-951.69476,744.76135,1070.05518
331,2.75,-958.84058,744.57141,1069.92139
332,2.758,-969.4743,746.93878,1070.25488
333,2.767,-977.81604,745.10297,1069.94885
334,2.775,-988.11786,747.66064,1071.10059
335,2.783,-995.3606,748.12909,1071.729
336,2.792,-1006.88873,749.14069,1071.7019
337,2.8,-1013.46326,748.41364,1072.12427
338,2.808,-1025.06653,751.17285,1072.72766
339,2.817,-1033.49658,752.20435,1073.32727
340,2.825,-1044.81384,753.11456,1074.10022
341,2.833,-1052.50122,754.10767,1073.97168
342,2.842,-1062.46069,756.28931,1074.37097
343,2.85,-1071.38123,755.70221,1075.39221
344,2.858,-1081.53894,757.44867,1074.89343
345,2.867,-1091.03577,758.07532,1075.20544
346,2.875,-1100.8949,758.72815,1076.11768
347,2.883,-1110.36047,760.69159,1076.0813
348,2.892,-1121.35645,761.14569,1076.7843
349,2.9,-1130.34595,762.60608,1077.23425
350,2.908,-1141.54224,763.27533,1078.58179
351,2.917,-1150.63257,763.13873,1078.64075
352,2.925,-1160.86951,764.10632,1079.87769
353,2.933,-1169.95264,763.63818,1079.88953
354,2.942,-1180.32898,764.64105,1080.76526
355,2.95,-1189.90039,765.5545,1081.78992
356,2.958,-1199.60181,765.38055,1081.6615
357,2.967,-1210.19812,767.10132,1082.57861
358,2.975,-1218.25635,766.92676,1082.19324
359,2.983,-1228.62231,767.24493,1082.56177
360,2.992,-1237.77222,768.25909,1083.10315
361,3,-1246.69373,766.76953,1082.62964
362,3.008,-1257.80286,767.7063,1083.2948
363,3.017,-1266.92444,767.64398,1083.10205
364,3.025,-1275.4491,767.56836,1082.49451
365,3.033,-1286.54114,768.3313,1082.86084
366,3.042,-1294.48621,768.31726,1082.19299
367,3.05,-1304.80566,768.99109,1081.98853
368,3.058,-1313.43665,768.38684,1081.56909
369,3.067,-1323.19373,767.36993,1080.79358
370,3.075,-1332.30212,766.80762,1081.67761
371,3.083,-1342.55029,767.19159,1080.71545
372,3.092,-1351.75732,766.78101,1080.1449
373,3.1,-1361.81018,766.88867,1079.41663
374,3.108,-1371.46765,766.0152,1079.08032
375,3.117,-1380.72205,764.82135,1079.53149
376,3.125,-1389.72485,764.28796,1078.16931
377,3.133,-1399.51514,763.78302,1078.40479
378,3.142,-1408.91724,762.78577,1077.54395
379,3.15,-1418.22949,761.98651,1077.4115
380,3.158,-1428.3158,761.41156,1076.86853
381,3.167,-1437.23657,760.09698,1076.58752
382,3.175,-1445.42456,758.36902,1075.89978
383,3.183,-1456.03406,757.43042,1076.20056
384,3.192,-1464.96301,756.12531,1075.53711
385,3.2,-1473.55078,754.93292,1076.29529
386,3.208,-1481.18628,753.0863,1075.71704
387,3.217,-1491.54675,751.5094,1076.11462
388,3.225,-1499.61072,749.53998,1076.15491
389,3.233,-1508.37305,748.07916,1076.89001
390,3.242,-1517.06665,746.79712,1077.02832
391,3.25,-1524.55884,745.08075,1077.0022
392,3.258,-1532.82642,743.29346,1077.83313
393,3.267,-1540.88123,741.25812,1078.30774
394,3.275,-1549.01282,738.46667,1079.21667
395,3.283,-1555.57092,737.33478,1080.22949
396,3.292,-1563.32349,734.8269,1082.19836
397,3.3,-1571.30212,733.07068,1083.06445
