Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
263,2.183,-154.45358,238.44208,894.79639
264,2.192,-164.71751,239.92555,894.78662
265,2.2,-174.53384,240.46574,895.67493
266,2.208,-183.2547,241.20598,896.50208
267,2.217,-192.98117,241.73871,896.14642
268,2.225,-203.40602,242.46883,896.05096
269,2.233,-212.93483,242.94408,896.87036
270,2.242,-221.1828,242.85422,896.92737
271,2.25,-231.48323,243.88808,898.5929
272,2.258,-240.62044,243.87428,898.73395
273,2.267,-248.78516,243.41599,898.48749
274,2.275,-259.68005,243.851,898.94873
275,2.283,-267.45093,242.79126,899.37268
276,2.292,-277.22726,242.77441,901.27161
277,2.3,-285.42096,243.90396,901.60199
278,2.308,-293.69635,243.17964,901.14154
279,2.317,-303.00961,242.3588,901.6712
280,2.325,-312.02029,243.56734,901.63831
281,2.333,-320.38809,242.41725,901.54077
282,2.342,-329.8399,241.51054,901.5282
283,2.35,-336.47314,241.51486,901.54163
284,2.358,-346.10513,241.83469,902.25348
285,2.367,-352.92612,240.79295,902.1438
286,2.375,-361.49649,239.46992,902.23627
287,2.383,-369.51926,239.23923,902.48401
288,2.392,-376.47156,238.62837,901.41583
289,2.4,-384.44424,238.78346,901.25336
290,2.408,-392.14459,237.22823,901.56274
291,2.417,-399.24588,235.96443,901.30469
292,2.425,-406.9353,236.17447,900.43787
293,2.433,-414.44702,235.7515,900.08301
294,2.442,-420.85229,233.25288,900.32568
295,2.45,-427.74689,232.86301,899.95135
296,2.458,-434.98038,232.40817,898.87482
297,2.467,-442.44873,231.80452,898.2406
298,2.475,-448.77106,230.19606,897.85663
299,2.483,-454.98459,229.21913,897.03864
300,2.492,-461.39914,229.26782,896.93488
301,2.5,-468.23694,228.04547,896.36969
302,2.508,-473.16708,227.22107,895.66107
303,2.517,-480.78061,226.13303,894.99243
304,2.525,-486.06561,224.80396,894.24237
305,2.533,-492.94205,223.92142,894.1377
306,2.542,-498.72858,222.34485,893.91107
307,2.55,-503.75378,221.57321,893.84003
308,2.558,-508.66632,220.79958,893.93494
309,2.567,-513.66132,220.02049,893.43237
310,2.575,-519.59412,218.52988,893.16284
311,2.583,-524.80261,217.73752,893.44458
312,2.592,-530.27985,217.00694,894.10883
313,2.6,-533.35571,215.84477,895.34583
314,2.608,-539.39893,215.76154,896.32935
315,2.617,-543.36963,214.73164,896.70636
316,2.625,-547.72852,214.54021,897.97546
317,2.633,-551.70477,212.93889,899.92999
318,2.642,-555.15094,212.89758,900.81537
319,2.65,-560.42517,211.55585,901.24219
320,2.658,-563.72565,211.44958,902.35028
321,2.667,-567.84399,210.76793,903.65338
322,2.675,-571.31744,210.31676,904.07843
323,2.683,-575.38501,209.91673,904.74762
324,2.692,-580.12268,210.30736,904.70917
325,2.7,-583.99341,210.55647,904.92578
326,2.708,-587.1131,210.2361,904.83252
327,2.717,-591.10858,209.19258,904.72028
328,2.725,-596.46234,209.31133,905.18451
329,2.733,-598.60114,209.13106,904.89697
330,2.742,-603.43774,209.24333,904.48163
331,2.75,-606.66907,209.05894,904.51343
332,2.758,-609.71075,208.69246,904.58881
333,2.767,-614.28094,208.56499,904.47607
334,2.775,-615.94873,207.18344,903.91687
335,2.783,-621.59729,207.52765,904.47803
336,2.792,-624.6925,207.62465,903.6684
337,2.8,-627.53882,208.22076,904.06793
338,2.808,-631.98126,206.36385,903.40509
339,2.817,-634.13324,206.40416,903.79333
340,2.825,-637.83655,206.22928,903.47815
341,2.833,-641.28314,205.47511,903.04004
342,2.842,-645.68396,205.14058,903.27844
343,2.85,-648.73096,205.03833,903.2066
344,2.858,-653.08728,205.15248,903.12299
345,2.867,-657.01495,205.50473,902.79034
346,2.875,-660.06726,204.48343,902.68951
347,2.883,-665.23193,204.40027,901.46234
348,2.892,-669.82709,204.08269,902.23303
349,2.9,-672.92633,202.96451,901.03821
350,2.908,-677.81836,203.73409,900.31494
351,2.917,-681.68134,202.74634,899.59796
352,2.925,-685.61835,202.31836,898.91345
353,2.933,-690.15845,203.011,899.04425
354,2.942,-694.63855,202.43944,898.01947
355,2.95,-699.62592,202.32091,897.93719
356,2.958,-704.63177,201.66682,896.73114
357,2.967,-709.68347,201.95299,896.32501
358,2.975,-715.08942,203.47525,895.44427
359,2.983,-720.64874,203.11572,894.79376
360,2.992,-724.94012,202.65855,894.86517
361,3,-731.00732,203.63033,894.6532
362,3.008,-737.25342,203.25133,894.05945
363,3.017,-741.60345,203.10439,893.91077
364,3.025,-748.00616,203.50568,892.66852
365,3.033,-753.45618,204.06081,891.76611
366,3.042,-759.20978,204.26006,890.87439
367,3.05,-765.5882,205.808,890.14349
368,3.058,-773.64801,206.79205,889.82501
369,3.067,-778.74158,206.29153,889.57947
370,3.075,-786.12695,207.33258,887.0625
371,3.083,-792.32751,208.35143,886.7962
372,3.092,-801.17322,209.91643,885.42303
373,3.1,-807.07581,210.45213,884.26392
374,3.108,-814.14722,210.66333,883.05865
375,3.117,-822.13666,211.85542,881.77631
376,3.125,-829.7583,215.53831,881.50256
377,3.133,-836.88232,215.59846,879.47754
378,3.142,-843.99487,215.57693,878.40198
379,3.15,-852.50336,217.5231,878.27399
380,3.158,-861.40515,218.38123,877.48932
381,3.167,-868.48462,219.74072,876.62457
382,3.175,-878.56183,222.58035,877.151
383,3.183,-886.56097,222.67915,875.90656
384,3.192,-893.98517,223.4696,875.87549
385,3.2,-903.05011,224.60632,876.58899
386,3.208,-910.80188,227.00037,877.31067
387,3.217,-919.86896,227.85947,878.22339
388,3.225,-929.41095,229.37143,879.28326
389,3.233,-936.86011,231.03267,880.05743
390,3.242,-947.39148,231.95927,880.95081
391,3.25,-954.66522,234.05951,882.89307
392,3.258,-965.3573,234.52429,884.18866
393,3.267,-973.38727,237.09354,885.86658
394,3.275,-981.88281,237.29967,886.91687
395,3.283,-991.07111,239.22134,887.66571
396,3.292,-1000.61542,239.82253,888.37543
397,3.3,-1010.42218,242.34491,889.26764
398,3.308,-1018.14478,242.74277,889.36279
399,3.317,-1028.10742,246.54007,891.05115
400,3.325,-1037.10254,245.9133,891.41431
401,3.333,-1044.11157,247.05431,891.99286
402,3.342,-1055.92505,248.5984,893.56329
403,3.35,-1063.38147,250.32785,894.43433
404,3.358,-1073.16162,250.31746,894.40753
405,3.367,-1082.63,252.46124,894.94812
406,3.375,-1091.46936,253.24715,895.19659
407,3.383,-1098.66003,254.97116,895.44647
408,3.392,-1110.5791,255.86852,895.66809
409,3.4,-1117.8031,257.29395,895.84454
410,3.408,-1124.65527,257.0166,897.11676
411,3.417,-1137.18152,260.0621,898.07593
412,3.425,-1145.328,259.95279,898.38373
413,3.433,-1152.4762,260.32877,898.3241
414,3.442,-1160.59668,261.35477,898.11993
415,3.45,-1170.3595,261.68616,899.71979
416,3.458,-1177.37598,262.00391,899.93427
417,3.467,-1185.36438,262.35846,899.82794
418,3.475,-1193.53113,262.97269,900.28027
419,3.483,-1201.50659,263.09586,900.8725
420,3.492,-1208.7688,262.74133,900.5741
421,3.5,-1215.50024,262.30963,901.50311
422,3.508,-1224.49512,263.08716,901.43353
423,3.517,-1231.23767,262.81165,900.94861
424,3.525,-1237.55273,263.57635,901.18262
425,3.533,-1245.79211,264.25671,901.12842
426,3.542,-1253.34497,263.23398,901.51385
427,3.55,-1260.43298,262.9462,901.9165
428,3.558,-1265.72717,262.26541,901.51129
429,3.567,-1272.86316,262.5643,901.59015
430,3.575,-1279.23792,261.94421,900.80859
431,3.583,-1284.65991,260.94189,900.60175
432,3.592,-1291.30237,261.30289,899.97601
433,3.6,-1296.79578,260.53323,900.35516
434,3.608,-1302.94727,259.80298,900.00818
435,3.617,-1307.86316,258.54095,900.05176
436,3.625,-1313.99255,258.68573,899.24652
437,3.633,-1319.81567,258.41611,899.23572
438,3.642,-1325.18127,257.61053,898.50513
439,3.65,-1329.15466,256.70499,898.25684
