Frame#,Time,R.Wrist.x,R.Wrist.y,R.Wrist.z,R.Thumb.M3.x,R.Thumb.M3.y,R.Thumb.M3.z,R.Finger3.M3.x,R.Finger3.M3.y,R.Finger3.M3.z
89,0.733,-986.78961,124.2867,1302.06335,-1060.53821,-158.10315,1294.97729,-1036.07361,215.7562,1306.19714
90,0.742,-982.0885,123.61104,1301.59363,-1055.03906,-157.03314,1294.37805,-1033.00854,217.39256,1306.79553
91,0.75,-977.87463,124.25489,1301.42444,-1051.20581,-157.04398,1294.18164,-1027.09241,216.18707,1305.75903
92,0.758,-973.22491,123.45838,1301.94666,-1047.16589,-158.79645,1293.53003,-1022.22595,214.06609,1304.78137
93,0.767,-969.05359,122.03066,1301.22864,-1042.97034,-160.14122,1292.94727,-1016.00598,213.67079,1304.28394
94,0.775,-964.95276,121.49432,1300.55396,-1038.80139,-161.01268,1292.20227,-1014.79279,214.34843,1304.58936
95,0.783,-959.52313,121.49751,1300.27881,-1033.27258,-160.56853,1292.02502,-1009.23248,212.55325,1304.3064
96,0.792,-955.72656,120.68011,1300.2168,-1028.69373,-161.76382,1291.33057,-1003.85626,210.52045,1303.37817
97,0.8,-951.49585,118.22446,1299.82275,-1025.24817,-162.6544,1290.64612,-1001.93024,212.18579,1303.10999
98,0.808,-948.37372,117.69195,1299.35437,-1020.30145,-163.83762,1290.72937,-996.87787,209.45679,1303.14478
99,0.817,-943.13025,116.44807,1298.93945,-1015.60413,-166.07748,1290.16516,-991.19458,208.62579,1302.40564
100,0.825,-938.16266,116.25721,1297.74841,-1010.45709,-165.70059,1289.68066,-990.33777,208.72595,1302.6344
101,0.833,-934.89465,115.29892,1297.50586,-1006.26385,-166.61928,1288.74805,-985.19769,205.96291,1302.04028
102,0.842,-930.53149,113.09291,1296.31812,-1001.22894,-168.24872,1288.15686,-979.98535,204.33043,1300.96692
103,0.85,-926.30737,112.64001,1296.93701,-996.80902,-169.2254,1287.91138,-972.73883,201.76729,1300.72144
104,0.858,-921.87787,110.68773,1295.72327,-991.88367,-172.15428,1286.73059,-973.39569,202.94466,1302.17761
105,0.867,-917.78412,109.65044,1296.06628,-987.42371,-173.84799,1285.42261,-965.27118,199.54439,1300.56482
106,0.875,-912.48383,109.16409,1294.78015,-982.17102,-173.82141,1285.71509,-963.05591,198.4424,1300.53528
107,0.883,-908.08209,106.32438,1294.10559,-977.26196,-174.82921,1284.29919,-960.29456,196.62163,1299.45471
108,0.892,-905.81348,105.25547,1293.19043,-971.83508,-176.51067,1283.24341,-955.85883,197.12628,1299.49963
109,0.9,-900.83679,103.53001,1292.49597,-967.72357,-179.04675,1282.27832,-951.8631,193.60898,1299.0531
110,0.908,-896.22656,101.37611,1291.79285,-962.65277,-181.06883,1280.80103,-945.94592,191.2374,1297.90881
111,0.917,-891.86169,99.7199,1292.10962,-957.55042,-182.96176,1280.8175,-942.5459,190.15245,1296.91113
112,0.925,-888.51477,98.56664,1292.00977,-953.02448,-185.74142,1280.34595,-940.1521,188.43584,1296.70728
113,0.933,-883.92688,96.5349,1291.87537,-947.479,-187.30013,1279.08447,-934.88208,186.60683,1296.02881
114,0.942,-877.95941,94.5833,1291.94287,-943.37329,-190.35315,1278.38367,-929.89624,184.74918,1295.82068
115,0.95,-873.84821,93.79331,1291.77454,-937.35913,-191.16367,1277.09204,-928.40192,184.42351,1296.27917
116,0.958,-869.09375,90.5752,1292.07825,-932.43512,-192.79335,1277.08777,-922.4057,180.92046,1295.72791
