Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
132,1.092,1157.98596,359.76611,1201.93665,1200.29822,381.24313,1003.25208,1219.17981,309.32202,993.27618
133,1.1,1152.34839,359.29208,1202.42078,1194.53516,380.72318,1003.71356,1212.80334,309.44839,993.62402
134,1.108,1147.56885,359.29807,1202.71143,1187.99329,380.40634,1003.50323,1207.81384,307.27234,993.96942
135,1.117,1141.58484,359.25476,1202.64124,1183.33813,379.57977,1003.33868,1200.72253,308.12085,992.41364
136,1.125,1136.42175,359.315,1202.35339,1176.74329,379.31424,1002.69751,1194.91541,307.00861,992.57904
137,1.133,1130.20789,359.9939,1203.16138,1171.97498,379.64383,1003.22473,1189.31616,306.62097,992.94238
138,1.142,1125.07141,359.8147,1203.21936,1166.47058,378.67813,1003.38861,1182.84949,305.2861,992.37268
139,1.15,1120.2417,360.79907,1203.21558,1162.59766,379.08774,1002.6507,1176.24097,305.78207,992.35193
140,1.158,1114.75818,360.23718,1203.06641,1157.69556,378.47839,1002.96741,1171.21851,304.53271,992.57288
141,1.167,1109.23108,360.67206,1203.14539,1152.35278,378.43918,1003.06036,1164.94983,304.42059,992.31549
142,1.175,1103.91895,360.74011,1203.0636,1146.85962,377.91016,1002.96448,1159.06299,302.74875,991.52893
143,1.183,1098.23108,361.20966,1202.51587,1141.46777,379.30905,1003.2099,1154.27539,304.14337,992.29333
144,1.192,1091.79834,361.01923,1202.47717,1135.6344,378.32175,1001.53119,1148.61133,304.535,992.14325
145,1.2,1086.073,362.26364,1202.94714,1130.3197,379.81577,1001.7572,1143.08606,304.48166,991.87341
146,1.208,1080.67163,362.08932,1202.50012,1124.55347,379.37772,1001.16766,1138.25867,305.01624,992.3786
147,1.217,1075.14258,362.77313,1201.84021,1119.80005,379.8811,1001.67291,1132.67102,305.60385,992.3783
148,1.225,1069.29919,363.05728,1201.57715,1114.55334,379.9566,1001.78577,1127.45984,305.45773,991.72784
149,1.233,1062.4895,363.45297,1201.12549,1108.69653,381.07349,1001.22656,1121.25598,306.98309,990.65454
150,1.242,1056.52051,364.05298,1200.98682,1103.06409,381.04871,1001.29382,1117.20874,305.94727,990.62592
151,1.25,1050.3988,364.69791,1200.85815,1097.37183,381.95398,1000.58441,1110.85486,307.2312,991.11676
152,1.258,1044.74646,365.15421,1199.94434,1091.02197,382.97031,1000.38196,1104.9137,307.0712,991.32013
153,1.267,1036.66028,366.20984,1200.11536,1085.51611,383.4035,1000.64233,1100.21863,310.2952,992.07288
154,1.275,1031.19739,367.42889,1200.35474,1079.37537,383.53821,1000.5332,1093.78174,308.52597,990.95886
155,1.283,1024.75366,367.59137,1200.05701,1073.24426,384.58041,1000.42224,1087.36487,311.5162,991.09845
156,1.292,1018.2774,368.7261,1199.9801,1067.16382,384.98663,1000.61035,1081.57434,310.26288,990.43585
157,1.3,1011.41718,369.46625,1200.29932,1060.78882,385.79266,999.98102,1074.38342,312.6701,991.43781
