Frame#,Time,L.Shank.x,L.Shank.y,L.Shank.z
132,1.092,1233.82568,347.50272,825.20404
133,1.1,1230.54956,345.55975,826.25586
134,1.108,1227.31506,345.42587,827.72485
135,1.117,1225.78235,344.33505,828.72375
136,1.125,1220.77441,343.19022,830.15576
137,1.133,1216.6571,342.48801,830.79639
138,1.142,1214.53809,342.26767,831.55231
139,1.15,1209.3158,341.1973,833.78772
140,1.158,1206.35779,340.32849,834.11768
141,1.167,1204.85242,339.90076,835.89978
142,1.175,1203.31604,337.74533,835.66125
143,1.183,1200.48706,337.00006,836.5116
144,1.192,1198.4856,337.03564,837.19366
145,1.2,1196.19714,336.98471,836.76764
146,1.208,1191.46741,335.3429,837.64948
147,1.217,1188.82642,334.20316,838.19061
148,1.225,1187.51746,333.87479,838.88464
149,1.233,1184.13647,334.81036,839.22131
150,1.242,1180.90222,331.6246,838.65167
151,1.25,1179.27368,331.22971,838.80432
152,1.258,1176.97107,331.57327,839.53131
153,1.267,1174.12891,332.1268,839.02167
154,1.275,1171.24475,329.47964,838.45551
155,1.283,1169.4126,328.50043,839.02722
156,1.292,1166.98547,328.57916,839.15271
157,1.3,1163.71655,328.48434,837.97839
158,1.308,1160.2478,325.3024,837.91956
159,1.317,1158.76819,324.83212,838.29736
160,1.325,1156.00745,323.88019,837.28296
161,1.333,1152.61145,323.24985,836.73279
162,1.342,1150.57153,321.31851,836.82916
163,1.35,1148.77588,321.41083,837.19263
164,1.358,1146.82813,320.79736,836.59052
165,1.367,1142.06384,319.15079,836.29572
166,1.375,1139.96582,319.1001,836.52673
167,1.383,1138.03381,319.17737,835.85999
168,1.392,1134.98474,318.01843,835.47113
169,1.4,1131.41162,316.5954,834.27704
170,1.408,1129.37988,316.74823,834.37866
171,1.417,1126.97131,317.55136,833.88831
172,1.425,1124.77795,317.94763,833.70221
173,1.433,1120.6748,316.74521,832.94989
174,1.442,1116.96021,316.50693,832.23981
175,1.45,1114.9967,316.56866,831.63226
176,1.458,1111.29675,317.99503,830.62054
177,1.467,1108.78088,318.04666,830.06116
178,1.475,1107.46472,315.89514,831.23169
179,1.483,1103.47278,315.1539,829.90381
180,1.492,1099.92664,315.88803,830.43896
181,1.5,1096.65857,317.42407,830.44025
182,1.508,1091.49609,318.7218,827.91187
183,1.517,1088.32056,317.88715,826.77905
184,1.525,1083.7937,320.32828,827.15771
185,1.533,1080.21533,320.56131,826.65076
186,1.542,1075.07471,321.49664,825.91504
187,1.55,1070.16797,321.77798,823.4621
188,1.558,1065.84326,323.87387,823.4967
189,1.567,1060.79614,325.58997,823.66364
190,1.575,1054.83997,325.02151,821.58337
191,1.583,1049.25317,327.30313,821.09222
192,1.592,1044.33838,329.14999,819.73352
193,1.6,1038.62427,329.44626,818.44257
194,1.608,1033.48535,330.86694,817.81567
195,1.617,1027.25549,332.76944,818.11462
196,1.625,1020.79205,335.33929,816.90497
197,1.633,1014.56506,336.64392,815.15723
198,1.642,1009.20038,338.6062,814.50708
199,1.65,1002.08978,339.27768,813.85846
200,1.658,995.05475,341.74503,812.82281
201,1.667,990.0683,343.07523,812.45874
202,1.675,982.69617,344.88821,811.26349
203,1.683,975.24786,345.18048,810.06555
204,1.692,967.24493,349.3999,811.27844
205,1.7,961.1449,349.71286,810.89636
206,1.708,951.9931,350.44434,810.81195
207,1.717,945.74438,352.59381,810.76483
208,1.725,936.89752,354.85669,811.02832
209,1.733,929.5434,356.06546,812.61285
210,1.742,921.55115,357.13483,812.68628
211,1.75,914.49023,358.62616,814.35486
212,1.758,905.49298,360.19907,814.24268
213,1.767,898.02539,361.01361,815.00409
214,1.775,889.24292,363.09149,817.02649
215,1.783,881.77545,363.59973,818.06598
216,1.792,873.69806,366.59363,820.02686
217,1.8,864.59375,367.54211,820.81085
218,1.808,856.74933,368.84613,822.28876
219,1.817,849.19684,369.73206,824.66913
220,1.825,839.27985,371.50986,825.66461
221,1.833,832.1709,373.50925,826.6676
222,1.842,822.99713,374.78091,828.17963
223,1.85,814.98254,378.0181,829.43597
224,1.858,805.89783,378.22144,829.82922
225,1.867,797.96729,380.01257,831.77698
226,1.875,789.39642,383.89664,832.79114
227,1.883,780.99432,385.31506,833.47131
228,1.892,770.52039,388.13745,833.47174
229,1.9,760.76794,390.79663,834.36481
230,1.908,753.52832,393.52005,835.71912
231,1.917,744.78461,393.57941,836.6217
232,1.925,736.2774,395.71829,836.35059
233,1.933,728.1687,397.51096,836.24829
234,1.942,720.27173,398.2312,836.6449
235,1.95,711.7027,399.2963,838.11768
236,1.958,703.94055,401.19818,838.14526
237,1.967,696.80658,403.55057,838.98511
238,1.975,688.44525,402.74451,839.46399
239,1.983,680.91608,404.20132,839.07568
240,1.992,671.96075,405.13739,840.03619
241,2,665.92181,406.10938,840.09839
242,2.008,657.59766,406.6691,841.02502
243,2.017,649.72241,405.04248,840.09924
244,2.025,642.98865,406.56906,840.75018
245,2.033,636.21252,406.05206,842.23596
246,2.042,628.34955,405.87466,841.63275
247,2.05,621.83136,405.21301,841.10095
248,2.058,613.32727,404.60266,841.55847
249,2.067,606.42255,404.34143,841.73688
250,2.075,600.3429,403.47421,840.67871
251,2.083,592.48615,403.39871,841.75555
252,2.092,585.6673,403.38757,841.20856
253,2.1,579.53644,402.47885,841.38983
254,2.108,572.32349,401.11246,841.32867
255,2.117,565.72131,400.21948,841.1637
256,2.125,559.05676,399.6853,840.612
257,2.133,552.94775,398.96014,840.34973
258,2.142,546.94196,397.43875,838.79541
259,2.15,541.39252,396.59631,839.11115
260,2.158,535.62994,395.7753,838.51862
261,2.167,528.84344,394.37643,837.9906
262,2.175,523.31866,394.35098,837.04376
263,2.183,518.30554,392.82983,836.59692
264,2.192,512.68561,391.36346,835.17273
265,2.2,506.2702,389.98813,834.77802
266,2.208,500.57788,388.99878,833.80695
267,2.217,495.92883,387.47269,833.07281
268,2.225,490.62436,386.40042,832.39166
269,2.233,485.32388,385.89609,831.47601
270,2.242,480.27115,384.52332,829.91998
271,2.25,475.15973,383.11945,828.5199
272,2.258,470.85947,382.97458,828.06946
273,2.267,465.48788,381.96408,827.22064
274,2.275,460.83218,380.97916,826.17761
275,2.283,456.4762,380.30243,825.34766
276,2.292,450.5148,380.16797,824.7749
277,2.3,446.38461,378.62195,823.63055
278,2.308,442.48892,378.43829,822.97449
279,2.317,437.12103,377.46451,822.35535
280,2.325,432.8606,376.83984,820.76288
281,2.333,429.51102,375.17715,819.5968
282,2.342,425.44333,375.32767,819.51782
283,2.35,421.37897,374.29709,818.44629
284,2.358,417.11267,374.43707,818.41949
285,2.367,411.60687,372.86606,817.13861
286,2.375,408.759,372.98657,816.42505
287,2.383,404.50543,372.97452,815.86481
288,2.392,400.11417,372.2388,815.05676
289,2.4,395.60501,370.88715,814.77429
290,2.408,391.59134,371.60336,814.43768
291,2.417,388.22568,370.74725,813.83862
292,2.425,384.88309,371.0061,814.24847
293,2.433,380.83908,370.73212,814.1698
294,2.442,377.44766,369.40067,814.61658
295,2.45,373.48013,368.60733,814.3551
296,2.458,371.22992,366.8237,814.60291
297,2.467,366.61029,366.57388,814.95789
298,2.475,362.92844,365.97903,816.0108
299,2.483,359.31339,365.84531,816.75812
300,2.492,357.26913,365.88458,816.91058
301,2.5,353.92172,364.60074,818.67261
302,2.508,350.34506,364.01001,819.60651
303,2.517,347.4447,363.84204,820.3139
304,2.525,344.10312,362.09415,821.29224
305,2.533,345.48117,359.72031,822.38434
306,2.542,343.20947,358.01688,822.68512
