Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
123,1.017,1275.33154,-33.90936,1560.27051,1185.09558,-25.74519,1442.90979
124,1.025,1267.84143,-34.23648,1559.48035,1177.04797,-27.88312,1443.74268
125,1.033,1263.29126,-36.61279,1560.59033,1173.80896,-27.33971,1444.10193
126,1.042,1256.42041,-36.73768,1560.15881,1167.026,-30.46921,1444.08276
127,1.05,1251.59094,-40.12813,1560.8324,1160.33228,-34.47055,1444.83887
128,1.058,1244.87683,-40.22547,1560.99536,1155.04236,-33.84394,1445.14063
129,1.067,1239.61243,-43.97832,1561.50281,1149.38989,-36.09581,1444.83496
130,1.075,1232.36292,-44.20925,1562.11377,1144.43921,-35.94728,1445.25378
131,1.083,1226.54944,-47.27613,1563.80347,1138.53589,-38.70124,1446.18811
132,1.092,1219.41528,-47.49188,1564.39563,1133.68713,-38.72021,1446.27356
133,1.1,1213.78625,-48.86565,1564.797,1127.32129,-42.03386,1446.97827
134,1.108,1208.43262,-50.64654,1566.42932,1119.53284,-43.62544,1449.38074
135,1.117,1203.05237,-51.70688,1567.73828,1115.77002,-44.20632,1449.47522
136,1.125,1197.41431,-52.59985,1569.1626,1110.38,-45.31654,1450.29504
137,1.133,1192.02783,-53.96207,1570.43982,1103.91357,-45.65836,1451.70032
138,1.142,1185.83777,-56.22256,1571.38806,1099.10999,-47.97325,1452.85583
139,1.15,1180.77954,-56.86621,1573.39136,1093.68347,-46.95464,1454.04663
140,1.158,1175.65161,-58.09893,1573.98303,1088.80334,-48.04539,1454.22046
141,1.167,1170.55566,-58.70794,1574.97192,1084.38257,-49.55943,1455.47668
142,1.175,1164.67993,-59.91165,1575.74414,1079.87402,-50.32277,1457.14417
143,1.183,1160.84851,-60.30831,1576.07703,1073.7915,-52.30669,1458.51733
144,1.192,1155.90613,-60.88343,1576.13574,1067.91711,-51.37866,1457.76233
145,1.2,1148.8562,-62.00595,1578.23962,1062.04883,-52.88091,1459.18311
146,1.208,1142.9198,-63.93737,1577.35535,1057.36743,-53.05192,1460.2467
147,1.217,1140.27271,-65.02399,1578.31006,1052.51465,-55.1434,1460.2522
148,1.225,1134.51611,-64.19204,1579.58179,1046.80798,-55.2861,1459.99377
149,1.233,1129.38855,-67.23772,1579.41406,1041.79358,-56.17243,1461.2063
150,1.242,1124.44812,-67.04615,1579.39929,1037.1521,-56.34925,1461.98157
151,1.25,1118.17847,-66.89148,1578.1167,1031.27344,-57.16188,1461.22742
152,1.258,1113.79993,-68.05565,1579.70837,1025.33057,-57.11046,1462.13367
153,1.267,1108.70862,-68.44061,1580.53113,1020.31842,-58.11852,1461.59839
154,1.275,1103.95508,-69.20811,1580.94971,1014.57288,-58.86526,1461.65967
155,1.283,1099.26526,-70.9081,1581.36633,1009.91235,-57.99307,1461.16089
156,1.292,1092.87573,-70.39784,1579.72485,1008.8233,-61.98957,1461.05566
157,1.3,1087.46741,-69.17849,1580.05383,1002.39349,-61.55637,1460.8125
