Frame#,Time,L.Elbow.Medial.x,L.Elbow.Medial.y,L.Elbow.Medial.z
303,2.517,1002.29486,-440.84567,1386.31665
304,2.525,1008.80798,-439.72412,1385.26819
305,2.533,1018.1712,-439.46896,1384.71265
306,2.542,1022.97784,-440.85284,1381.82996
307,2.55,1032.85681,-439.58746,1382.29248
308,2.558,1040.52942,-436.31335,1381.25525
309,2.567,1046.00549,-436.15546,1379.88696
310,2.575,1054.50122,-436.37015,1379.44104
311,2.583,1063.62048,-434.41736,1378.16309
312,2.592,1070.94189,-434.78748,1378.46729
313,2.6,1078.48669,-434.9472,1377.06726
314,2.608,1085.32288,-430.99677,1376.62268
315,2.617,1091.99487,-429.62991,1376.8313
316,2.625,1099.77502,-429.41946,1375.65259
317,2.633,1109.72839,-428.54266,1373.9176
318,2.642,1118.03882,-428.30206,1374.49756
319,2.65,1124.00659,-426.33347,1373.43298
320,2.658,1131.80774,-423.70563,1373.73743
321,2.667,1140.02454,-422.87817,1374.13037
322,2.675,1148.98987,-422.41028,1376.01709
323,2.683,1155.87537,-423.10077,1375.99634
324,2.692,1165.46887,-420.95508,1375.98535
325,2.7,1172.78235,-420.94031,1377.41956
326,2.708,1180.89819,-417.23474,1378.99329
327,2.717,1189.19836,-415.61102,1380.03735
328,2.725,1195.78394,-417.23788,1381.18945
329,2.733,1203.599,-417.00647,1381.58044
330,2.742,1213.19617,-416.09885,1383.92346
331,2.75,1220.03308,-417.15186,1384.71057
332,2.758,1228.62207,-415.0784,1385.44409
333,2.767,1234.2323,-415.52576,1386.02576
334,2.775,1242.5791,-413.85406,1388.0177
335,2.783,1249.13965,-412.4119,1390.85388
336,2.792,1256.92639,-412.85895,1390.89221
337,2.8,1264.9967,-412.09128,1393.01062
338,2.808,1270.1239,-411.94644,1394.2655
339,2.817,1278.78833,-411.49359,1395.67615
340,2.825,1285.6084,-412.46637,1396.40259
341,2.833,1295.2771,-411.64584,1397.30493
342,2.842,1299.70081,-413.39359,1398.4646
343,2.85,1307.13171,-410.98474,1399.94543
344,2.858,1313.5498,-411.86087,1400.49341
345,2.867,1321.88257,-411.46207,1401.65063
346,2.875,1328.32776,-412.50381,1402.64172
347,2.883,1335.07031,-409.24588,1404.23218
348,2.892,1340.55688,-411.93097,1402.38782
349,2.9,1348.97327,-408.44571,1403.76526
350,2.908,1353.76489,-408.52887,1404.26721
351,2.917,1360.96521,-407.70831,1404.59912
352,2.925,1368.01318,-410.21262,1405.68726
353,2.933,1376.16394,-408.64728,1406.98108
354,2.942,1381.18872,-408.33109,1405.89575
355,2.95,1388.70251,-407.6665,1406.15796
356,2.958,1395.07813,-409.58823,1406.57654
357,2.967,1402.61987,-408.08878,1405.41125
358,2.975,1407.67285,-408.52887,1403.32239
359,2.983,1417.52783,-407.45023,1404.84412
360,2.992,1422.10132,-409.04938,1403.96619
361,3,1430.90808,-407.72211,1405.24841
362,3.008,1435.06592,-408.65738,1403.25
363,3.017,1443.89246,-408.76236,1404.89954
364,3.025,1450.45227,-409.19171,1405.48694
365,3.033,1456.28491,-409.63229,1402.3667
366,3.042,1465.29053,-408.88583,1403.05933
367,3.05,1471.71265,-410.02698,1401.65186
368,3.058,1479.4342,-409.99948,1401.21423
369,3.067,1485.3678,-411.4971,1400.90759
370,3.075,1493.51489,-409.25476,1399.4574
371,3.083,1498.87024,-411.2926,1398.31238
372,3.092,1507.78979,-411.27939,1399.2428
373,3.1,1515.03491,-412.45499,1397.52417
374,3.108,1519.13123,-413.02832,1396.47754
375,3.117,1529.44531,-412.47583,1395.88538
376,3.125,1534.60547,-413.92957,1393.19373
377,3.133,1544.12256,-412.81033,1393.79382
378,3.142,1551.55371,-415.38086,1391.95947
379,3.15,1560.53882,-413.76578,1391.75488
380,3.158,1566.98157,-414.62131,1390.57703
381,3.167,1575.53418,-415.41663,1389.7262
382,3.175,1582.11719,-415.0498,1387.68054
383,3.183,1590.14209,-417.5777,1387.66064
384,3.192,1599.17212,-416.63293,1386.19482
385,3.2,1606.8645,-418.80963,1383.38782
386,3.208,1615.54919,-418.35608,1383.69861
387,3.217,1623.6593,-420.10175,1381.98682
388,3.225,1632.68298,-419.97574,1381.22058
389,3.233,1639.69568,-421.02466,1378.41211
390,3.242,1647.23669,-422.6467,1379.49036
391,3.25,1656.87402,-423.25284,1376.05908
392,3.258,1666.27478,-423.73618,1376.96667
393,3.267,1671.69666,-426.19345,1374.26013
394,3.275,1678.28235,-428.50943,1373.07959
395,3.283,1690.83752,-427.28882,1371.70728
396,3.292,1696.29102,-429.88202,1370.80969
397,3.3,1704.81165,-431.37857,1369.14526
398,3.308,1714.64026,-432.00784,1368.08618
399,3.317,1720.89075,-433.43835,1367.03577
400,3.325,1733.57336,-432.86014,1368.54431
401,3.333,1742.40015,-436.03189,1368.96069
402,3.342,1751.34778,-435.41977,1369.84998
