Frame#,Time,L.Heel.x,L.Heel.y,L.Heel.z
239,1.983,-144.23076,-395.43008,826.5097
240,1.992,-134.82127,-395.59766,827.16364
241,2,-127.29223,-398.34564,829.12506
242,2.008,-120.27446,-399.40747,830.07214
243,2.017,-113.39239,-399.9483,830.36987
244,2.025,-104.04256,-401.05225,830.96686
245,2.033,-97.79211,-402.01392,831.64166
246,2.042,-90.3593,-402.80435,832.51227
247,2.05,-82.68895,-404.41605,834.02429
248,2.058,-75.40333,-404.03326,834.47943
249,2.067,-68.58315,-405.27701,835.04199
250,2.075,-61.07009,-403.42886,836.72363
251,2.083,-54.36368,-403.03473,836.7525
252,2.092,-47.67527,-404.58749,837.88623
253,2.1,-41.43895,-402.86212,837.92816
254,2.108,-32.79411,-403.1109,838.85626
255,2.117,-27.2146,-402.31259,839.13763
256,2.125,-18.95049,-401.92807,840.14221
257,2.133,-12.44302,-401.36765,840.86609
258,2.142,-6.62809,-401.06076,841.20172
259,2.15,0.04066,-401.14557,841.06042
260,2.158,6.93678,-399.35925,841.06995
261,2.167,12.53869,-397.45679,841.29791
262,2.175,19.22572,-397.10858,841.5921
263,2.183,25.34272,-396.71799,841.35547
264,2.192,31.57915,-394.56448,840.99677
265,2.2,38.7359,-392.81927,841.08142
266,2.208,45.30539,-393.25165,840.4671
267,2.217,51.05288,-391.83234,839.90491
268,2.225,57.15633,-390.36075,839.87268
269,2.233,62.76424,-386.66882,840.31799
270,2.242,69.43471,-387.69376,840.23181
271,2.25,74.71462,-386.09021,839.31696
272,2.258,80.94057,-384.09283,838.50116
273,2.267,87.45681,-382.21536,837.29523
274,2.275,92.84844,-382.07352,837.01843
275,2.283,99.14551,-381.379,836.7912
276,2.292,105.0738,-379.28488,836.04321
277,2.3,111.10912,-376.68567,835.23828
278,2.308,118.10947,-376.89969,834.51648
279,2.317,123.87648,-374.74997,833.87457
280,2.325,128.95213,-373.63599,831.97583
281,2.333,135.53589,-371.61176,831.14551
282,2.342,140.81189,-369.22113,829.98608
283,2.35,147.1701,-369.44299,829.77405
284,2.358,153.57626,-367.8118,828.20789
285,2.367,158.44524,-366.10187,828.14502
286,2.375,164.01169,-365.09641,827.5788
287,2.383,169.70677,-363.06308,827.13525
288,2.392,174.64449,-362.08142,825.22162
289,2.4,180.02625,-360.8645,824.42944
290,2.408,185.92245,-358.51956,823.87628
291,2.417,191.41316,-357.64966,823.08295
292,2.425,197.92538,-356.33331,822.51361
293,2.433,203.05124,-355.83197,821.23303
294,2.442,208.54655,-354.26428,819.84106
295,2.45,214.16063,-352.93063,819.65509
296,2.458,219.38977,-350.82596,818.95148
297,2.467,224.37297,-350.96149,819.40497
298,2.475,229.39331,-349.44653,818.79303
299,2.483,233.60516,-348.03009,818.85364
300,2.492,239.45357,-347.22906,818.52472
301,2.5,244.27893,-344.98538,818.84399
302,2.508,249.07362,-343.54681,818.75214
303,2.517,255.48943,-342.61127,819.2074
304,2.525,258.95694,-342.76437,819.83844
305,2.533,263.00775,-340.27744,819.68396
306,2.542,268.03375,-338.26535,820.21814
307,2.55,272.80704,-337.18973,820.50262
308,2.558,277.17184,-336.31854,822.31158
309,2.567,280.89105,-336.12952,822.94043
310,2.575,285.20557,-335.12411,823.77216
311,2.583,289.43256,-333.42157,824.41895
312,2.592,292.60553,-332.81897,825.48926
313,2.6,296.78421,-330.48627,825.81927
314,2.608,301.07144,-330.75803,826.65314
315,2.617,303.56796,-330.12088,827.27197
316,2.625,307.94913,-329.5806,829.22028
317,2.633,310.31375,-328.41568,829.61096
318,2.642,314.03857,-327.92426,830.2406
319,2.65,317.86581,-326.79187,830.60468
