Frame#,Time,R.Forearm.x,R.Forearm.y,R.Forearm.z
194,1.608,-441.78375,-67.38737,1293.70496
195,1.617,-436.91388,-67.32033,1293.05151
196,1.625,-431.13437,-68.69649,1292.13843
197,1.633,-425.65256,-70.72672,1291.89514
198,1.642,-420.42004,-71.89071,1290.65625
199,1.65,-415.08112,-72.51674,1289.42029
200,1.658,-410.51175,-74.63661,1289.40332
201,1.667,-404.64252,-74.89693,1288.56921
202,1.675,-398.34836,-76.36055,1287.19421
203,1.683,-393.19064,-77.89848,1286.76477
204,1.692,-387.46954,-79.6352,1286.26794
205,1.7,-382.53864,-80.88959,1285.69165
206,1.708,-376.04333,-82.49313,1284.76953
207,1.717,-370.91403,-83.83519,1283.52673
208,1.725,-364.81793,-85.86037,1283.29541
209,1.733,-358.3385,-87.4017,1281.29504
210,1.742,-352.61151,-89.21004,1281.88623
211,1.75,-347.64136,-92.60567,1281.93176
212,1.758,-342.05768,-92.04491,1281.0769
213,1.767,-334.64633,-94.13375,1280.99988
214,1.775,-329.79712,-96.53896,1281.01453
215,1.783,-324.55856,-98.40764,1281.35901
216,1.792,-318.504,-99.19557,1281.25793
217,1.8,-312.68951,-100.85677,1281.61755
218,1.808,-307.90149,-103.10491,1283.64697
219,1.817,-301.29541,-105.37488,1284.14551
220,1.825,-296.63464,-107.48347,1285.06738
221,1.833,-290.61731,-108.51524,1285.68066
222,1.842,-285.24911,-110.713,1286.94385
223,1.85,-279.37277,-113.18964,1288.53345
224,1.858,-274.20111,-114.78496,1290.05664
225,1.867,-268.39563,-116.05543,1291.56628
226,1.875,-262.22678,-117.93985,1292.83179
227,1.883,-256.97443,-120.49232,1294.31335
228,1.892,-251.90959,-122.0765,1295.48743
229,1.9,-245.8145,-123.12872,1296.38965
230,1.908,-240.75475,-124.93093,1297.19189
231,1.917,-234.72881,-127.24583,1298.81201
232,1.925,-228.51833,-128.72833,1299.4679
233,1.933,-223.40553,-129.73665,1299.79358
234,1.942,-219.07219,-131.19705,1300.30383
235,1.95,-213.74196,-132.47495,1300.58301
236,1.958,-207.63994,-132.86302,1300.33594
237,1.967,-202.93587,-135.11734,1300.7616
238,1.975,-197.81827,-135.23177,1300.92664
239,1.983,-192.00723,-136.74815,1300.91675
240,1.992,-188.02087,-138.07559,1301.17273
241,2,-182.4068,-138.90901,1301.06604
242,2.008,-176.39375,-139.1021,1299.98376
243,2.017,-171.46991,-140.23196,1300.20117
244,2.025,-166.14362,-141.15947,1300.41943
245,2.033,-161.26994,-141.72345,1300.69324
246,2.042,-155.80618,-142.95515,1300.16797
247,2.05,-150.0367,-142.72279,1300.93286
248,2.058,-146.47,-143.53838,1300.69141
249,2.067,-140.74716,-144.26843,1300.78442
250,2.075,-135.53627,-144.24425,1301.2738
251,2.083,-131.26126,-144.32811,1300.88013
252,2.092,-125.39359,-145.34671,1301.02551
253,2.1,-120.43027,-145.96162,1301.12805
254,2.108,-115.06149,-145.86493,1301.47998
255,2.117,-111.5024,-145.86087,1301.80164
256,2.125,-107.40742,-146.75668,1301.97253
257,2.133,-101.75665,-146.83484,1301.59595
258,2.142,-97.18529,-146.8152,1301.34448
259,2.15,-91.53244,-148.02748,1300.83496
260,2.158,-87.1636,-147.00023,1300.61267
261,2.167,-83.8723,-147.11699,1300.36865
262,2.175,-78.92604,-147.2934,1300.49792
263,2.183,-74.17654,-148.22461,1300.65076
264,2.192,-68.5707,-147.66753,1299.88696
265,2.2,-64.39494,-148.09236,1299.39197
