Frame#,Time,R.Heel.x,R.Heel.y,R.Heel.z
435,3.617,873.23175,-374.15918,895.49463
436,3.625,878.84937,-374.97134,894.75677
437,3.633,885.33478,-373.06168,894.1015
438,3.642,891.28619,-371.78876,892.81573
439,3.65,898.30499,-370.67572,892.45435
440,3.658,904.54956,-370.1777,891.34723
441,3.667,910.70105,-369.16083,890.24695
442,3.675,916.17334,-368.01294,890.20166
443,3.683,922.35443,-366.68195,888.67566
444,3.692,928.24176,-362.81223,886.88715
445,3.7,934.69385,-362.68762,885.86334
446,3.708,941.12146,-361.33325,884.21472
447,3.717,946.36646,-359.89481,883.177
448,3.725,952.28607,-357.93661,882.25061
449,3.733,958.17157,-355.24921,880.72461
450,3.742,963.7146,-354.48981,879.7605
451,3.75,969.14465,-352.87274,878.22638
452,3.758,974.05206,-351.8884,877.33826
453,3.767,979.41302,-349.33487,876.1001
454,3.775,986.00208,-347.93747,874.89783
455,3.783,991.24866,-345.3613,874.29218
456,3.792,996.68365,-345.32413,872.94232
457,3.8,1001.88171,-342.42722,873.01257
458,3.808,1007.04907,-340.66986,871.23175
459,3.817,1012.70978,-338.98563,869.47955
460,3.825,1018.33441,-338.24991,870.47101
461,3.833,1022.99536,-336.97665,869.49164
462,3.842,1028.69958,-336.40683,868.62524
463,3.85,1033.73999,-333.19977,867.86786
464,3.858,1039.23206,-331.74454,866.81592
465,3.867,1043.67078,-330.70581,866.73553
466,3.875,1048.74866,-328.9191,866.94598
467,3.883,1053.19873,-329.09979,867.33752
468,3.892,1055.55896,-325.91318,867.71631
469,3.9,1059.50537,-324.96561,867.33923
470,3.908,1065.39661,-323.8587,868.5791
471,3.917,1067.97778,-322.1416,868.68243
472,3.925,1072.76587,-321.38712,869.27838
473,3.933,1077.33569,-320.77451,869.26617
474,3.942,1081.74463,-316.81323,870.02448
475,3.95,1085.63953,-317.58136,871.96069
476,3.958,1090.12061,-314.79599,872.43774
477,3.967,1093.25476,-313.69879,873.53253
478,3.975,1096.09644,-313.78568,874.02484
479,3.983,1100.77173,-312.87466,876.21814
480,3.992,1103.06445,-310.5321,876.81995
481,4,1105.97009,-308.08066,877.60742
482,4.008,1110.70569,-307.47784,879.23004
483,4.017,1113.1604,-307.173,879.66223
484,4.025,1116.30383,-304.67917,880.24432
485,4.033,1119.60645,-304.69147,881.79382
486,4.042,1122.50647,-304.21979,881.89087
487,4.05,1126.64246,-302.75247,881.81702
488,4.058,1128.94543,-302.49713,882.40881
489,4.067,1130.20398,-299.75488,882.40424
490,4.075,1132.77673,-300.26727,882.29828
491,4.083,1138.49316,-297.87512,882.00775
492,4.092,1139.21521,-298.45868,883.22833
493,4.1,1141.73523,-297.9097,882.79169
494,4.108,1145.80444,-296.09021,884.22937
495,4.117,1148.9657,-296.32953,883.73688
496,4.125,1151.16846,-295.89459,884.6972
497,4.133,1153.95398,-294.87558,884.57397
498,4.142,1157.67603,-292.26208,883.86462
499,4.15,1159.15369,-292.03543,884.45215
500,4.158,1163.21497,-291.12253,885.57666
501,4.167,1164.30811,-290.08365,885.78387
502,4.175,1169.14246,-290.30487,884.93896
503,4.183,1172.328,-289.44357,887.71008
504,4.192,1174.51929,-288.81808,887.67151
505,4.2,1178.42603,-288.32944,886.84436
506,4.208,1180.16736,-288.17758,887.34021
507,4.217,1184.22729,-287.4115,888.1189
508,4.225,1186.81824,-287.89285,887.7417
509,4.233,1190.53894,-287.57324,887.11127
510,4.242,1193.7915,-287.31796,887.59039
511,4.25,1196.50854,-285.92691,888.02502
512,4.258,1200.69897,-285.35666,887.02118
513,4.267,1203.23438,-284.99509,886.41437
514,4.275,1208.13123,-286.7377,886.1275
515,4.283,1210.23486,-284.69476,886.53839
516,4.292,1216.1969,-286.0401,886.71954
517,4.3,1218.32947,-285.03641,886.26575
518,4.308,1222.5946,-286.70117,885.21179
519,4.317,1227.28247,-284.56558,885.85974
520,4.325,1232.60046,-286.89056,884.17426
521,4.333,1234.36841,-285.56845,884.1969
522,4.342,1239.09204,-289.00378,884.59955
523,4.35,1243.89514,-286.0574,884.03693
524,4.358,1249.03821,-288.05377,883.10303
525,4.367,1253.05676,-288.68771,881.7522
526,4.375,1257.11707,-288.54306,880.65234
527,4.383,1263.67871,-289.57083,880.26208
528,4.392,1268.06641,-289.8497,879.39941
529,4.4,1271.71008,-290.86688,879.1767
530,4.408,1279.00488,-290.74463,877.6524
531,4.417,1282.71509,-291.47415,877.43335
532,4.425,1287.1571,-292.26505,878.27362
533,4.433,1295.32776,-292.41183,876.3786
534,4.442,1301.81006,-293.55591,874.59729
535,4.45,1305.96252,-294.26404,874.1814
536,4.458,1311.56396,-293.23148,873.50671
537,4.467,1318.5022,-295.3194,872.07196
538,4.475,1323.65454,-297.60464,871.45258
539,4.483,1330.50818,-297.69482,870.62274
540,4.492,1336.93787,-300.30762,869.42346
541,4.5,1341.23669,-299.95801,867.83557
542,4.508,1348.21912,-300.25504,867.56653
543,4.517,1355.13306,-301.42639,866.97223
544,4.525,1361.48462,-303.89771,865.46399
545,4.533,1369.06555,-303.90683,864.34845
546,4.542,1376.30713,-305.22351,864.31482
547,4.55,1381.94458,-307.08902,864.9165
548,4.558,1390.11389,-307.53662,864.58423
549,4.567,1396.52405,-308.84882,864.56219
550,4.575,1403.51282,-310.53998,864.30597
551,4.583,1410.00708,-310.59863,865.47522
552,4.592,1417.51978,-312.35092,864.6933
553,4.6,1423.6488,-312.72458,865.62799
554,4.608,1431.68396,-313.61749,866.28638
555,4.617,1437.94421,-315.36072,866.58215
556,4.625,1445.60229,-316.39804,866.5694
557,4.633,1453.10986,-317.37344,868.71075
558,4.642,1459.92053,-319.68683,868.67767
559,4.65,1468.4082,-320.63937,870.83374
560,4.658,1476.00171,-321.94351,870.86755
561,4.667,1482.07043,-324.94955,872.66589
