Frame#,Time,R.Thigh.Front.x,R.Thigh.Front.y,R.Thigh.Front.z
149,1.233,805.04211,686.35046,1065.61377
150,1.242,793.02448,688.24518,1068.30322
151,1.25,782.66772,689.68799,1068.14124
152,1.258,771.58374,690.97961,1068.22437
153,1.267,762.29114,694.48517,1068.64075
154,1.275,750.03882,694.64258,1069.88684
155,1.283,740.00134,695.50793,1070.14307
156,1.292,729.95599,695.09119,1069.87402
157,1.3,720.2981,696.47882,1070.28467
158,1.308,709.44824,697.26074,1070.96167
159,1.317,700.06274,697.38336,1070.69202
160,1.325,689.93494,698.22766,1069.83496
161,1.333,681.48212,696.87482,1069.802
162,1.342,671.35028,696.19189,1069.45459
163,1.35,662.07623,695.80573,1069.41577
164,1.358,652.20361,695.37592,1070.37244
165,1.367,643.5423,694.28015,1069.88696
166,1.375,635.4917,692.03888,1068.56506
167,1.383,625.85919,691.12878,1068.26221
168,1.392,617.38947,689.5238,1067.32117
169,1.4,609.9809,688.49915,1067.1427
170,1.408,601.95184,687.31842,1066.83398
171,1.417,594.46643,685.58069,1066.30347
172,1.425,586.99768,681.6416,1065.54333
173,1.433,579.31415,680.43945,1064.96826
174,1.442,572.61639,678.57501,1065.28516
175,1.45,565.08154,676.31183,1064.32544
176,1.458,557.91486,674.28369,1064.37048
177,1.467,551.09131,671.87933,1063.53394
178,1.475,546.26233,668.79614,1063.66577
179,1.483,538.84735,666.41284,1063.45923
180,1.492,534.08905,664.65393,1063.20569
181,1.5,528.40503,661.40063,1063.78259
182,1.508,522.87164,657.92572,1064.37964
183,1.517,518.97827,655.52637,1065.69849
184,1.525,514.22913,653.34424,1066.15881
185,1.533,509.33334,650.34625,1068.00635
186,1.542,504.59973,646.32288,1069.4856
187,1.55,499.44345,642.66144,1070.11279
188,1.558,495.4859,639.69403,1072.11096
189,1.567,491.23532,638.92834,1073.70471
190,1.575,486.17374,634.42273,1074.50623
191,1.583,481.70657,632.00024,1075.28308
192,1.592,476.73953,629.16272,1076.57336
193,1.6,471.88522,627.52917,1077.27014
194,1.608,467.27649,624.99353,1077.30676
195,1.617,463.24359,622.10846,1078.60974
196,1.625,462.49274,620.74493,1079.70435
197,1.633,455.92932,619.90497,1079.36218
198,1.642,450.66891,618.2403,1079.78247
199,1.65,447.00488,615.05475,1079.45728
200,1.658,442.09656,613.7066,1079.18579
201,1.667,437.38394,611.01373,1080.03186
202,1.675,433.51862,610.84979,1079.92944
203,1.683,428.29675,608.04932,1080.18481
204,1.692,423.24789,608.00507,1080.10608
205,1.7,418.00925,606.39624,1080.67053
206,1.708,413.29733,604.7049,1081.2915
207,1.717,408.63055,603.39105,1080.93518
208,1.725,403.80988,602.23413,1081.95813
209,1.733,399.06757,599.95691,1081.58118
210,1.742,398.87756,597.54755,1083.16296
211,1.75,393.2995,595.51733,1083.04785
212,1.758,390.73239,594.86981,1083.66785
213,1.767,384.36191,593.50226,1084.61975
214,1.775,379.66733,592.48718,1084.14636
215,1.783,376.23251,591.99274,1083.84937
216,1.792,369.87964,590.51953,1082.64087
217,1.8,364.74533,588.32587,1082.95044
218,1.808,362.30704,588.19061,1083.2605
219,1.817,357.73083,586.87335,1083.05249
220,1.825,353.13235,587.04675,1083.71521
221,1.833,347.2225,585.12976,1083.12268
222,1.842,344.8942,584.42578,1082.5564
223,1.85,337.35873,584.66418,1082.39526
224,1.858,333.78064,584.81317,1081.87463
225,1.867,328.51434,584.22412,1081.15173
226,1.875,323.85587,584.01685,1081.31396
227,1.883,319.97244,583.44604,1079.98242
228,1.892,313.8566,582.07733,1078.59546
229,1.9,309.1145,582.71875,1078.33862
230,1.908,303.51407,583.38562,1077.68152
231,1.917,298.75348,583.21521,1078.46228
232,1.925,291.92722,583.39111,1076.67224
233,1.933,285.7327,582.3465,1076.22742
234,1.942,278.80597,584.0166,1075.8877
235,1.95,273.65259,582.54492,1074.46802
236,1.958,266.754,583.09906,1073.97729
237,1.967,262.34421,582.54333,1072.79028
238,1.975,253.52618,584.42273,1070.68677
239,1.983,247.92355,583.68707,1070.28052
240,1.992,241.59444,584.34277,1069.03442
241,2,233.93657,585.25616,1067.8916
242,2.008,227.54948,585.92462,1066.98572
243,2.017,221.04402,585.61646,1064.49536
244,2.025,213.90414,587.35248,1063.46521
245,2.033,207.2964,587.8363,1062.27881
246,2.042,199.55336,589.08624,1060.25256
247,2.05,191.39432,589.49072,1059.49011
248,2.058,184.24513,592.00531,1057.48071
249,2.067,175.80728,591.8927,1056.60522
250,2.075,168.67905,592.65784,1055.93909
251,2.083,159.95392,594.00989,1053.98291
252,2.092,153.89433,594.89539,1054.15454
253,2.1,143.74979,595.22308,1053.27246
254,2.108,136.30482,595.48901,1052.09912
255,2.117,127.95163,596.82043,1051.70471
256,2.125,119.23814,596.92236,1052.01563
257,2.133,111.40918,596.44946,1052.19055
258,2.142,103.14146,597.90149,1052.35742
259,2.15,93.0495,598.57489,1052.49744
260,2.158,86.20528,598.1347,1052.39648
261,2.167,78.52095,598.95319,1053.09094
262,2.175,70.89545,599.96582,1054.5658
263,2.183,62.83105,601.67035,1054.56482
264,2.192,54.90781,602.17828,1054.93616
265,2.2,47.25902,604.93109,1055.5824
266,2.208,39.17951,605.07599,1056.03601
267,2.217,31.3406,607.92236,1057.08899
268,2.225,23.89022,608.89172,1057.39246
269,2.233,15.88827,610.24841,1058.87939
270,2.242,9.97991,611.05457,1059.18506
271,2.25,2.15777,612.80627,1059.62366
272,2.258,-5.78932,613.34271,1059.90674
273,2.267,-13.03786,615.61365,1059.76831
274,2.275,-21.89964,616.4657,1060.61206
275,2.283,-28.9076,617.9364,1060.56274
276,2.292,-36.49958,620.11414,1061.53113
277,2.3,-45.22002,620.01099,1061.40564
278,2.308,-52.76288,622.41003,1061.53625
279,2.317,-59.8273,623.10144,1062.43701
280,2.325,-67.64291,623.39038,1063.05261
281,2.333,-75.42727,625.7309,1063.42639
282,2.342,-83.08557,627.33789,1063.30798
283,2.35,-90.51009,628.7193,1063.18579
284,2.358,-98.71445,628.9566,1063.06921
285,2.367,-106.38588,631.01862,1064.1001
286,2.375,-112.89707,631.68207,1064.38379
287,2.383,-121.51869,632.71088,1064.48474
288,2.392,-128.79912,634.15747,1064.75061
289,2.4,-136.86887,635.25128,1065.0155
290,2.408,-143.8512,636.4375,1064.44324
291,2.417,-151.72061,636.92261,1064.07788
292,2.425,-160.43529,637.30688,1063.62817
293,2.433,-167.33731,639.25171,1063.8031
294,2.442,-175.00383,640.90399,1063.34448
295,2.45,-182.57538,641.85144,1062.40576
296,2.458,-190.7641,641.96649,1062.6864
297,2.467,-198.94165,642.78662,1061.17749
298,2.475,-207.11002,643.83032,1061.05347
299,2.483,-215.41281,643.71429,1060.03821
300,2.492,-222.29819,645.05676,1059.57373
301,2.5,-229.42485,645.20001,1059.38367
302,2.508,-238.83591,646.09613,1059.58643
303,2.517,-245.70119,646.4765,1058.2522
304,2.525,-254.20631,648.2196,1058.24707
305,2.533,-262.18414,646.97205,1056.74158
306,2.542,-269.68982,647.89636,1056.93787
307,2.55,-278.00421,648.14972,1056.06934
308,2.558,-286.25763,648.28253,1056.01367
309,2.567,-294.76523,648.22449,1055.52783
310,2.575,-302.89069,648.26721,1054.26221
311,2.583,-310.90747,649.22333,1053.74023
312,2.592,-318.97076,647.62994,1053.44885
313,2.6,-327.40192,647.36084,1053.55872
314,2.608,-335.50131,648.05188,1053.24817
315,2.617,-342.37488,647.64728,1053.57715
316,2.625,-351.33618,646.28967,1053.02576
317,2.633,-359.20502,647.03638,1052.224
318,2.642,-367.41293,646.28027,1052.85608
319,2.65,-375.15146,646.01086,1052.17102
320,2.658,-382.93042,644.9472,1052.71887
321,2.667,-391.28381,643.45032,1053.3114
322,2.675,-399.44559,644.17242,1054.49426
323,2.683,-407.00272,643.27448,1055.45801
324,2.692,-415.91327,641.4505,1056.48914
325,2.7,-422.53873,639.42523,1057.27161
326,2.708,-431.09894,638.59882,1057.71411
327,2.717,-437.74136,637.89063,1058.91089
328,2.725,-445.36145,638.6145,1060.66003
329,2.733,-454.37573,635.98578,1061.58057
330,2.742,-461.32529,636.21045,1062.90039
331,2.75,-468.00601,636.22418,1064.28748
332,2.758,-477.93674,634.93286,1065.0166
333,2.767,-484.57062,634.02649,1065.87805
334,2.775,-491.16953,633.43707,1067.82458
335,2.783,-497.32889,633.65759,1068.29797
336,2.792,-505.34595,632.50488,1069.5802
337,2.8,-512.48029,633.63287,1069.77832
338,2.808,-519.38708,634.27991,1071.05823
339,2.817,-526.77319,632.3457,1072.6217
340,2.825,-532.237,633.64172,1072.75293
341,2.833,-540.36859,631.8891,1073.84595
342,2.842,-547.22021,632.96674,1076.16052
343,2.85,-554.43079,632.47955,1076.62073
344,2.858,-560.81354,633.45166,1077.53174
345,2.867,-567.32745,632.14557,1078.17932
346,2.875,-573.69214,631.70306,1079.43921
347,2.883,-580.58447,631.591,1079.8894
348,2.892,-588.11432,630.81665,1080.00024
349,2.9,-593.27368,631.76379,1081.13184
350,2.908,-599.7793,631.42255,1082.1532
351,2.917,-606.04309,632.26056,1081.7793
352,2.925,-614.85516,632.29779,1081.73743
353,2.933,-621.29218,630.56464,1081.92627
354,2.942,-626.74994,631.86249,1082.39343
355,2.95,-634.28992,631.66492,1081.96301
356,2.958,-639.90851,632.73761,1082.19946
357,2.967,-646.79852,631.76587,1082.85461
358,2.975,-652.68036,633.20337,1081.84912
359,2.983,-661.99683,631.30475,1080.93298
360,2.992,-665.40948,631.92566,1080.83411
361,3,-675.09344,631.82343,1080.5437
362,3.008,-679.89038,633.29974,1079.99585
363,3.017,-687.37311,631.4455,1080.25293
364,3.025,-693.75275,633.85559,1080.54797
365,3.033,-699.92499,632.14917,1079.33704
366,3.042,-704.76703,633.35107,1078.48657
367,3.05,-714.96899,632.84064,1078.80566
368,3.058,-720.80322,633.77844,1077.39722
369,3.067,-727.26074,634.60419,1076.14087
370,3.075,-732.70734,635.06763,1075.97815
371,3.083,-741.58942,635.11725,1075.27881
372,3.092,-746.98187,636.27234,1073.7522
373,3.1,-753.32922,637.1911,1072.83533
374,3.108,-761.88403,636.27521,1072.03015
375,3.117,-770.44623,637.08118,1071.66174
376,3.125,-775.76617,637.93146,1070.45215
377,3.133,-783.33038,637.99188,1069.63953
378,3.142,-789.92133,639.68115,1068.51843
379,3.15,-797.71332,638.85352,1066.84167
380,3.158,-805.56128,640.02563,1066.32813
