Frame#,Time,L.Radius.x,L.Radius.y,L.Radius.z
198,1.642,542.3468,332.61734,1406.19446
199,1.65,534.80518,329.99368,1406.18774
200,1.658,526.97693,330.0369,1406.58875
201,1.667,519.61212,328.28549,1408.05066
202,1.675,512.07562,328.82401,1408.24084
203,1.683,505.44864,327.69397,1409.79004
204,1.692,498.71024,326.46973,1410.72974
205,1.7,492.05807,325.67603,1410.20068
206,1.708,484.25116,325.75583,1411.21411
207,1.717,476.51428,324.75858,1412.56897
208,1.725,470.34167,323.3428,1412.81091
209,1.733,462.74258,324.00635,1413.23352
210,1.742,456.47623,322.64249,1413.20422
211,1.75,449.2186,321.61597,1414.25195
212,1.758,442.5665,322.24506,1414.55127
213,1.767,435.7681,321.74426,1414.474
214,1.775,428.73328,320.25238,1414.35681
215,1.783,421.72601,320.07172,1414.08557
216,1.792,414.14465,320.18124,1415.23535
217,1.8,408.233,319.2908,1414.94897
218,1.808,400.47797,319.57703,1414.88098
219,1.817,394.21271,318.97205,1414.38794
220,1.825,386.27374,319.40817,1414.18982
221,1.833,379.39307,318.83389,1413.72461
222,1.842,372.28555,319.42245,1413.39331
223,1.85,365.22388,319.33771,1413.01318
224,1.858,358.06485,318.90695,1412.59143
225,1.867,351.05923,319.18384,1411.77222
226,1.875,343.80328,318.94284,1411.05676
227,1.883,336.17654,320.80902,1410.67639
228,1.892,328.64883,320.02686,1409.6676
229,1.9,321.85089,320.35864,1408.77075
230,1.908,313.94107,321.17325,1408.57007
231,1.917,306.95105,322.48389,1407.05139
232,1.925,299.31525,322.0285,1406.43616
233,1.933,291.0394,322.7233,1405.40881
234,1.942,284.56766,323.23206,1404.25085
235,1.95,276.46237,324.77136,1403.1969
236,1.958,268.79324,324.56967,1402.3916
237,1.967,260.94479,326.68057,1401.02222
238,1.975,254.12025,327.01819,1400.28516
239,1.983,245.82674,328.12823,1399.2749
240,1.992,238.14136,328.8544,1398.14697
241,2,230.91763,330.35693,1396.82788
242,2.008,222.55527,332.61331,1395.21118
243,2.017,215.42972,333.68881,1394.43127
244,2.025,208.18188,335.44989,1393.05713
245,2.033,199.60907,335.85843,1392.13562
246,2.042,192.16846,337.535,1390.94702
247,2.05,184.04851,339.44836,1389.78625
248,2.058,175.98866,341.28864,1388.55273
249,2.067,168.90385,344.17133,1387.61328
250,2.075,160.24115,344.98956,1387.61633
251,2.083,151.75139,347.18112,1386.66345
252,2.092,144.36156,348.79388,1387.09021
253,2.1,136.09154,349.95215,1387.69275
254,2.108,127.86547,351.90363,1387.7738
255,2.117,119.84334,353.83664,1388.11768
256,2.125,111.47309,355.72137,1388.78943
