Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
168,1.392,31.16746,69.6908,1621.88635,143.64462,75.8358,1509.97522
169,1.4,36.22235,68.83958,1620.44385,149.56041,77.19604,1507.69519
170,1.408,42.00508,68.53509,1618.70496,156.53206,73.21398,1506.40637
171,1.417,47.17257,67.85645,1618.60413,161.2803,75.22124,1506.42285
172,1.425,54.86595,66.97912,1617.40515,168.33195,72.44901,1506.38647
173,1.433,59.04935,63.36721,1617.3645,173.04849,73.75405,1505.74609
174,1.442,66.85319,63.55632,1616.76208,180.01129,70.91325,1503.73315
175,1.45,72.30766,62.98259,1616.93091,186.65738,67.40765,1504.16113
176,1.458,79.56308,62.25555,1615.78613,191.64606,67.61795,1504.21436
177,1.467,84.57474,58.36732,1615.729,197.74513,65.40649,1504.03674
178,1.475,90.45695,59.31817,1616.5144,204.61636,65.80444,1504.73572
179,1.483,97.15935,57.48599,1617.03027,210.02278,64.30898,1505.85303
180,1.492,102.40885,55.99154,1616.95422,217.7383,61.28382,1506.14404
181,1.5,109.91324,54.2191,1617.96228,222.2599,59.20302,1506.67688
182,1.508,116.00519,52.19601,1618.65234,229.52516,58.96122,1506.96375
183,1.517,121.85328,50.04224,1618.73535,236.11107,56.63005,1507.86938
184,1.525,128.64693,49.4519,1618.31165,242.09067,55.57237,1508.50403
185,1.533,133.05244,41.40831,1619.88708,248.36055,53.46722,1509.24048
186,1.542,141.25053,45.31581,1622.55212,255.5399,50.71766,1510.94971
187,1.55,148.54849,45.48035,1622.43115,260.2637,50.20781,1511.39221
188,1.558,153.72972,43.37296,1623.45813,267.34137,48.45335,1512.82495
189,1.567,159.16856,38.8692,1624.67444,273.24979,47.21453,1513.44324
190,1.575,165.57892,38.91869,1626.68481,279.23541,47.72731,1514.56409
191,1.583,173.37224,38.47341,1626.14502,285.49347,44.47728,1515.44434
192,1.592,178.55638,38.24778,1627.01489,291.48611,43.34833,1516.53638
193,1.6,183.81084,37.69308,1627.13916,298.28284,42.49924,1517.02734
194,1.608,189.65652,37.99387,1628.8866,302.13962,42.95568,1517.56677
195,1.617,196.02956,32.81871,1629.27563,309.33691,40.8782,1518.2561
196,1.625,201.22845,33.19961,1630.09119,316.18683,40.37202,1518.82031
197,1.633,206.91808,32.27181,1630.55725,321.36908,39.08221,1519.45398
198,1.642,213.66403,33.61553,1629.4856,327.99277,40.30002,1519.94946
199,1.65,218.02396,31.81959,1629.82141,333.49313,40.44023,1521.17163
200,1.658,224.73257,30.87829,1629.95508,339.66138,37.97429,1521.40588
201,1.667,230.91266,29.40616,1630.91016,345.3252,38.71373,1522.09436
202,1.675,236.30058,29.84621,1631.76404,351.63519,37.08846,1522.13782
203,1.683,241.72366,28.07873,1631.80481,356.36914,37.1795,1523.16895
204,1.692,247.55144,28.92658,1632.04358,362.8515,35.369,1522.46094
205,1.7,254.51779,28.76812,1631.97266,368.51859,36.08132,1522.64331
206,1.708,260.12222,28.79846,1631.62708,376.26285,34.69599,1522.74841
207,1.717,266.28647,28.32378,1632.90051,379.93542,35.87573,1522.85876
208,1.725,271.54056,28.03885,1633.10559,386.49127,35.61603,1522.72314
209,1.733,278.47495,26.75057,1632.91907,391.42151,37.23616,1522.62952
210,1.742,285.33301,28.29841,1634.26941,398.15417,34.50054,1522.60254
211,1.75,290.56067,27.38661,1633.23254,403.50125,36.98309,1522.45081
212,1.758,297.2915,27.70027,1634.2157,410.27802,35.74442,1521.46069
213,1.767,303.7887,29.12569,1634.73889,414.17719,36.92738,1521.58936
214,1.775,308.47018,27.30704,1634.28235,421.95569,35.80498,1521.52917
215,1.783,315.20978,28.74835,1633.38464,426.61475,36.68767,1522.03381
216,1.792,320.49408,28.80323,1633.79419,431.33679,37.51537,1521.99646
217,1.8,325.98999,27.81253,1634.745,438.75522,36.63084,1520.72729
218,1.808,333.043,29.20707,1634.70691,443.67407,37.005,1520.52368
219,1.817,338.10938,30.71874,1634.18933,449.72305,38.53841,1520.36487
220,1.825,343.32254,30.20518,1634.04626,455.51251,38.89855,1521.40417
221,1.833,349.72964,29.89258,1634.42285,461.77722,39.48677,1521.08655
222,1.842,356.27591,31.24464,1632.15881,466.26218,38.61427,1521.13635
223,1.85,361.10767,29.13455,1632.82715,473.51309,38.20735,1520.08496
224,1.858,366.45978,31.37224,1632.7666,479.52991,39.71143,1520.30945
225,1.867,371.90628,31.12819,1632.31567,483.83286,40.60457,1520.07727
226,1.875,378.70197,32.46651,1632.40308,489.96881,39.20638,1518.99976
227,1.883,383.73468,32.45056,1633.34253,495.5567,41.31771,1518.31482
228,1.892,391.06958,32.08772,1631.49377,501.73074,43.94507,1517.22876
229,1.9,397.05353,33.68763,1631.32141,507.4382,41.40888,1518.41638
230,1.908,401.89038,33.57557,1631.15918,512.86206,42.8895,1518.12256
231,1.917,407.93478,35.63673,1630.16797,519.25714,43.71647,1516.61597
232,1.925,414.1351,35.70596,1629.71289,526.21094,43.7142,1515.32068
233,1.933,419.45856,37.39953,1628.91882,531.25372,43.06706,1514.89612
