Frame#,Time,R.Biceps.Lateral.x,R.Biceps.Lateral.y,R.Biceps.Lateral.z,R.Elbow.x,R.Elbow.y,R.Elbow.z,R.Elbow.Medial.x,R.Elbow.Medial.y,R.Elbow.Medial.z
66,0.542,-1265.96057,-170.27315,1261.64441,-1309.56616,-198.40306,1084.44763,-1328.08252,-120.01219,1081.62866
67,0.55,-1260.26526,-169.08812,1262.75574,-1305.23657,-198.46617,1085.48767,-1323.73755,-117.95361,1082.75171
68,0.558,-1256.32922,-169.02702,1263.57983,-1299.04797,-195.66814,1085.59619,-1319.2207,-116.79129,1082.80371
69,0.567,-1250.28064,-166.01343,1263.94092,-1294.85254,-195.47743,1086.15515,-1315.13464,-115.83424,1083.86414
70,0.575,-1246.6322,-165.3087,1264.75134,-1290.53577,-193.6026,1086.62415,-1309.53809,-114.83563,1084.76599
71,0.583,-1241.25244,-163.77338,1264.63574,-1285.62561,-193.1324,1087.09644,-1305.22864,-114.05515,1085.38464
72,0.592,-1237.20691,-162.99341,1264.97656,-1282.1582,-192.25336,1087.43323,-1301.96338,-112.40077,1086.23718
73,0.6,-1232.73389,-162.94939,1265.36987,-1278.27881,-191.20113,1087.63098,-1296.65198,-111.86706,1086.27942
74,0.608,-1228.99072,-163.18375,1266.31665,-1273.64746,-189.32787,1088.46252,-1293.14185,-111.67747,1086.65149
75,0.617,-1224.86243,-161.15164,1266.36877,-1270.07544,-189.56311,1089.31873,-1288.56152,-109.91218,1087.17029
76,0.625,-1221.37402,-160.85619,1267.05542,-1266.4574,-188.83316,1089.20935,-1284.53674,-110.25679,1087.50073
77,0.633,-1219.09253,-160.39137,1266.87097,-1262.18311,-187.07654,1089.0426,-1280.6947,-108.1982,1087.00085
78,0.642,-1214.97668,-159.87695,1267.7771,-1258.71655,-186.88852,1089.37512,-1276.83594,-107.92205,1086.9447
79,0.65,-1211.13391,-158.57834,1267.59473,-1255.67737,-186.5233,1089.19202,-1272.08765,-106.81853,1086.91516
80,0.658,-1207.70569,-158.11728,1267.51929,-1251.58447,-185.0498,1089.1864,-1269.78894,-105.58411,1087.60596
81,0.667,-1204.00305,-157.61174,1267.39441,-1247.65967,-183.90514,1089.63208,-1265.40051,-105.29256,1086.93933
82,0.675,-1199.66711,-156.58679,1266.88867,-1244.84631,-184.49954,1089.09912,-1261.66907,-104.06253,1086.8407
83,0.683,-1196.16589,-155.96991,1266.67773,-1241.23535,-184.67097,1088.41064,-1257.31641,-104.02892,1086.72632
84,0.692,-1192.39905,-155.76294,1267.12085,-1237.25476,-181.85832,1088.02722,-1254.03979,-102.80387,1086.98657
85,0.7,-1187.61194,-155.25803,1267.01917,-1233.72925,-182.52516,1087.67908,-1249.58069,-102.6058,1086.40833
86,0.708,-1183.27637,-154.9176,1266.91907,-1229.20117,-183.10384,1087.81775,-1245.06067,-102.77432,1086.68384
87,0.717,-1178.28308,-155.30927,1266.07629,-1225.92944,-182.46753,1087.79663,-1240.39539,-102.15913,1086.28052
88,0.725,-1173.97827,-155.84525,1265.86719,-1221.63757,-181.10207,1087.65295,-1237.23572,-101.56384,1086.56873
89,0.733,-1169.57739,-154.98169,1265.39709,-1217.38428,-181.87572,1088.27161,-1232.60486,-101.24818,1086.61072
90,0.742,-1165.17566,-154.72783,1265.40564,-1213.3186,-181.07945,1087.45825,-1228.11707,-101.42201,1086.48547
91,0.75,-1159.87708,-155.05632,1264.93372,-1209.23914,-181.88216,1087.87183,-1224.34656,-100.92885,1086.20825
92,0.758,-1155.35413,-155.94522,1264.70691,-1204.40063,-180.87431,1087.78796,-1219.83789,-101.13773,1085.73242
93,0.767,-1151.26184,-155.78357,1264.89026,-1199.74438,-182.64807,1088.05164,-1214.95117,-101.94259,1085.3468
94,0.775,-1146.2373,-156.39941,1263.8667,-1194.85095,-183.65634,1087.19128,-1211.7052,-102.40429,1085.01892
95,0.783,-1142.37805,-157.08159,1263.73413,-1190.65332,-184.09273,1085.89331,-1205.64197,-103.02113,1084.82007
96,0.792,-1137.32959,-157.88321,1262.4668,-1186.33215,-182.48567,1085.49512,-1201.5083,-103.99034,1084.06226
97,0.8,-1132.97046,-158.4763,1262.32874,-1182.17969,-183.87518,1085.33032,-1197.11902,-104.44146,1083.23254
98,0.808,-1127.28308,-158.50433,1260.59424,-1178.15747,-184.48857,1084.36829,-1192.5874,-104.25541,1082.69287
99,0.817,-1122.38074,-158.89572,1260.2384,-1173.53833,-184.8978,1084.36426,-1188.71875,-104.20038,1082.33667
100,0.825,-1118.9458,-159.68785,1260.20178,-1168.59509,-185.86694,1083.00867,-1184.49463,-104.91315,1081.57312
101,0.833,-1114.17627,-161.09644,1259.5387,-1163.77026,-186.1255,1081.75916,-1178.44543,-106.34771,1080.98767
102,0.842,-1109.6272,-161.58739,1257.87378,-1159.03735,-187.42256,1081.06372,-1174.23523,-107.26423,1080.63953
103,0.85,-1104.77698,-161.39612,1257.66699,-1155.22229,-187.99448,1080.44006,-1169.52002,-107.6697,1079.26868
104,0.858,-1100.51013,-163.26242,1257.20264,-1150.56274,-190.06107,1080.50537,-1164.30078,-108.38663,1078.51099
105,0.867,-1096.65112,-164.881,1256.27588,-1145.82068,-190.12973,1078.49475,-1160.23181,-109.15274,1077.95776
106,0.875,-1091.51135,-165.87126,1254.91882,-1140.81091,-190.04128,1077.85156,-1155.68469,-110.07391,1077.44141
107,0.883,-1086.46252,-166.67996,1255.11572,-1136.36096,-192.24257,1077.80164,-1149.67065,-111.19421,1076.73511
