Frame#,Time,Top.Head.x,Top.Head.y,Top.Head.z,Jaw.x,Jaw.y,Jaw.z
131,1.083,264.23782,-320.56177,1707.89709,396.34082,-283.81403,1639.42798
132,1.092,272.43591,-320.00974,1708.31848,403.50177,-282.92969,1639.98926
133,1.1,280.26828,-319.88339,1709.75916,410.70288,-282.78906,1642.07019
134,1.108,287.76978,-317.66818,1710.22961,419.23779,-282.32016,1642.20715
135,1.117,295.64008,-318.2977,1711.34888,426.14041,-282.67307,1642.24487
136,1.125,302.81775,-319.64276,1712.49841,433.11624,-282.80008,1643.15662
137,1.133,311.09271,-319.31155,1713.32141,440.02673,-282.72815,1643.19226
138,1.142,319.59305,-318.58212,1713.98254,448.5903,-282.02921,1644.38184
139,1.15,325.98773,-317.31714,1714.41882,456.04959,-282.46469,1644.03284
140,1.158,334.08939,-318.23123,1714.74524,463.54221,-281.12552,1643.53967
141,1.167,342.19604,-318.99701,1715.16504,470.41019,-280.8681,1644.62354
142,1.175,349.8291,-318.25888,1715.43091,478.89429,-280.1684,1643.67517
143,1.183,355.8949,-317.48914,1716.00232,486.31863,-281.63309,1643.45959
144,1.192,364.38892,-317.53235,1715.42334,492.61215,-281.59702,1644.44507
145,1.2,372.2002,-317.26974,1715.78528,500.6362,-282.48557,1644.1709
146,1.208,379.16653,-317.673,1715.87646,507.29761,-281.10928,1643.67151
147,1.217,385.52097,-316.76517,1716.2937,514.98566,-281.39545,1642.53125
148,1.225,393.50858,-317.9357,1715.23792,523.05676,-282.14059,1642.9873
149,1.233,401.27435,-318.72153,1715.26099,528.83282,-281.36926,1642.88208
150,1.242,408.71155,-318.69186,1714.80798,536.72034,-282.90274,1641.96704
151,1.25,415.60864,-318.35449,1714.32214,543.78052,-283.11847,1641.95081
152,1.258,422.45685,-318.60214,1714.02771,551.96814,-283.12296,1641.29651
153,1.267,430.87338,-318.93243,1713.29773,558.4209,-283.40698,1641.08313
154,1.275,438.08282,-319.12329,1714.07532,565.85162,-284.37552,1641.07837
155,1.283,444.45346,-319.84467,1713.56396,573.16602,-286.17422,1640.37439
156,1.292,452.35031,-320.79678,1712.9325,580.71686,-286.10638,1639.26208
157,1.3,460.07971,-320.67596,1711.52344,588.17133,-285.83575,1638.16504
158,1.308,467.0162,-321.75769,1710.81934,595.04785,-286.30969,1636.93848
159,1.317,474.2998,-322.54803,1710.35266,601.84418,-288.26938,1636.10571
160,1.325,481.1734,-323.67242,1709.40503,610.24481,-289.21097,1634.8623
161,1.333,489.15137,-323.92566,1708.48169,616.80554,-287.32382,1633.80835
162,1.342,497.18442,-324.68515,1707.02673,624.44916,-289.30838,1633.00073
163,1.35,504.11584,-326.64249,1705.78247,631.72083,-291.37149,1632.3042
164,1.358,510.77243,-327.0047,1705.02087,639.03406,-293.24518,1631.28772
165,1.367,518.29846,-326.67929,1703.55688,645.94055,-291.90921,1630.17249
166,1.375,524.20001,-328.64667,1702.20813,653.42755,-292.61694,1628.46179
167,1.383,532.04901,-330.30466,1701.16443,660.64722,-294.73428,1627.85461
168,1.392,539.54199,-330.89926,1700.03101,668.08307,-295.69998,1627.03809
169,1.4,547.01398,-332.35419,1698.63635,675.38702,-297.46997,1626.3324
170,1.408,553.45245,-333.33105,1697.75732,683.5011,-297.8342,1625.01624
171,1.417,560.81226,-334.34457,1696.40735,689.36627,-298.70316,1623.55054
172,1.425,568.51929,-336.30484,1695.75049,697.28833,-300.74423,1622.38855
173,1.433,575.93347,-337.44577,1694.33411,704.75983,-301.45444,1621.01306
174,1.442,582.49481,-338.34573,1692.84924,712.26819,-303.5733,1619.6554
175,1.45,590.6814,-339.71381,1691.64026,719.9425,-304.23285,1619.08008
